original_text,cleaned_text,Topic
"@bgAABHtNhL is synonymous with Girlfriends, a prominent radio show on Ria 897 that has touched the hearts of many due to its relatable real life events and social issues. Today, she’s an independent host and aims to diversify what is talked about in the Malay media. Join us as we discuss how the media shapes the way we think and behave.

See you tomorrow! 👋",is synonymous with girlfriends a prominent radio show on ria that has touched the hearts of many due to its relatable real life events and social issues today she is an independent host and aims to diversify what is talked about in the malay media join us as we discuss how the media shapes the way we think and behave see you tomorrow waving hand,0
"A Malay Muslim desktop engineer by trade, @bgAABHtMH_'s unconventional background and knack for self-experimentation allowed him the creative freedom to expand his repertoire to include design, photography and creative writing, in addition to being a member of The Starving Artists, a collective based in Singapore comprised of young local underground artists.

We ask him what it's like to advocate through his creative work and how it's changed his perspective on community.",a malay muslim desktop engineer by trade s unconventional background and knack for allowed him the creative freedom to expand his repertoire to include design photography and creative writing in addition to being a member of the starving artists a collective based in singapore comprised of young local underground artists we ask him what it is like to advocate through his creative work and how it is changed his perspective on community,0
"A Malay Muslim desktop engineer by trade, @bgAABHt8Oo's unconventional background and knack for self-experimentation allowed him the creative freedom to expand his repertoire to include design, photography and creative writing, in addition to being a member of The Starving Artists, a collective based in Singapore comprised of young local underground artists.

We ask him what it's like to advocate through his creative work and how it's changed his perspective on community.

Join us tomorrow! 👋",a malay muslim desktop engineer by trade s unconventional background and knack for allowed him the creative freedom to expand his repertoire to include design photography and creative writing in addition to being a member of the starving artists a collective based in singapore comprised of young local underground artists we ask him what it is like to advocate through his creative work and how it is changed his perspective on community join us tomorrow waving hand,0
"We're celebrating this July! 🎉 
 
Join our Co-Founder, Anna, and these community changemakers, in a lepak conversation on IG Live, every Mon and Thur. 👈 
 
Thank YOU for creating change with us for 1 year! ✨",we are celebrating this july party popper join our anna and these community changemakers in a relax conversation on ig live every mon and thursday backhand index pointing left thank you for creating change with us for year sparkles,0
"Be the change you want to see, they say. How do you imagine your Hari Raya celebration banners to look like?

DM us your submissions or post them using the hashtag #thisiswhateidlookslike, and we'll share our favourites!

🎨: @bgAABHtGuU",be the change you want to see they say how do you imagine your hari raya celebration banners to look like dm us your submissions or post them using the hashtag and we will share our favourites artist palette,0
"From our humble team of 2, we'd like to thank everyone for contributing to our fundraiser! 🙏  We believe in rallying the community together to empower one another and you continue to be an important part of that 🙌

Wishing you a blessed last night of Ramadan! 🌙",from our humble team of we would like to thank everyone for contributing to our fundraiser folded hands we believe in rallying the community together to empower one another and you continue to be an important part of that raising hands wishing you a blessed last night of ramadan crescent moon,0
"@bgAABHtsBR is synonymous with Girlfriends, a prominent radio show on Ria 897 that has touched the hearts of many due to its relatable real life events and social issues. Today, she’s an independent host and aims to diversify what is talked about in the Malay media. Join us as we discuss how the media shapes the way we think and behave.",is synonymous with girlfriends a prominent radio show on ria that has touched the hearts of many due to its relatable real life events and social issues today she is an independent host and aims to diversify what is talked about in the malay media join us as we discuss how the media shapes the way we think and behave,0
"Major spoilers ahead. But trust us, there is no huge loss if you have not watched this movie. On a personal note, we have not seen the movie since the first time we did in 2011, and we could not sit through the whole movie again to create this post. Yes, it is THAT bad. PS. Links to further reading are in our bio!",major spoilers ahead but trust us there is no huge loss if you have not watched this movie on a personal note we have not seen the movie since the first time we did in and we could not sit through the whole movie again to create this post yes it is that bad leader of the opposition links to further reading are in our biography,1
"Selamat Hari Raya Haji to our Muslim followers! ✨
. 
To our non-Muslim followers, happy long weekend, and here are some Hari Raya Haji greetings you can wish your friends!
. 
✅ Selamat Hari Raya Haji
✅ Selamat Hari Raya Aidiladha
✅ Salam Eid al-Adha/ Salam Aidiladha
✅ Eid Mubarak

[EDIT] Latest news sources state that the performance of Hajj is restricted to 1,000 people, instead of 10,000",selamat hari raya haji to our muslim followers sparkles to our followers happy long weekend and here are some hari raya haji greetings you can wish your friends check mark button selamat hari raya haji check mark button selamat hari raya aidiladha check mark button salam end of Ramadan salam aidiladha check mark button end of Ramadan mubarak edit latest news sources state that the performance of hajj is restricted to people instead of,0
"It so amazing and you guys don’t think so.. sometime looking at them which make your day when you had a busy day! Having a cup of hot coffee, relax your mind while you enjoy watching them ..",it so amazing and you guys do not think so sometime looking at them which make your day when you had a busy day having a cup of hot coffee relax your mind while you enjoy watching them,1
